Job title,Company name,Location,Job type,Experience Level,Experience years,Skills
IT Manager,Confidential,"6th of October, Giza, Egypt ",Full Time,Manager,15 - 20 Yrs of Exp,"males_only,IT/Software Development,Pharmaceutical,Computer Science,Information Technology (IT),SAP,ERP,Installation,ABAP,Software,Computer Hardware"
Sales Engineer,Confidential,"Nasr City, Cairo, Egypt ",Full Time,Entry Level,2 - 5 Yrs of Exp,"Sales/Retail,Engineering - Telecom/Technology,Engineering - Mechanical/Electrical,Sales engineer,sales skills,Sales Target,Sales,Engineering,engineer"
Senior IT Consultant,Confidential,"Mohandessin, Giza, Egypt ",Freelance / Project,Manager,7 - 10 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,Information Technology (IT),Computer Engineering"
E Commerce Specialist,Confidential,"Smouha, Alexandria, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"Business Development,Marketing/PR/Advertising,Sales/Retail,E-Commerce,Communication,Marketing,media,SEO"
Learning & Development (L&D) Team Leader,Confidential,"New Cairo, Cairo, Egypt ",Full Time,Manager,7+ Yrs of Exp,"Human Resources,Human Resources (HR),Microsoft Office,Training Management,Training,Business Administration"
Purchasing Manager (Exp. Contracting),Confidential,"Maadi, Cairo, Egypt ",Full Time,Manager,10 - 12 Yrs of Exp,"Logistics/Supply Chain,Operations/Management,Purchasing/Procurement,Business Administration,Procurement,Purchasing,Supply Chain,supply chain management"
.Net Full Stack Team Lead,Confidential,"Sheraton, Cairo, Egypt ",Full Time,Experienced,5+ Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,.NET,Information Technology (IT),Computer Science,Communication Skills,Computer Skills,Microsoft Office,Software Development,Software Engineering"
Production Engineer,Confidential,"Alsadat City, Monufya, Egypt ",Full Time,Experienced,1 - 4 Yrs of Exp,"males_only,Manufacturing/Production,Manufacturing,Mechanical Production,Production,Production Engineering,Leadership,Engineering"
"Anti Money Laundry Officers , SAS users.",Confidential,"Maadi, Cairo, Egypt ",Full Time,Entry Level,Banking,"AML,SAS"
Senior Network Security Engineer,Confidential,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced,5 - 8 Yrs of Exp,"Installation/Maintenance/Repair,IT/Software Development,Engineering - Telecom/Technology,CCNA,Cisco,CCNP,Information Technology (IT),Networking,Network Administration,Security"
Translator,Argaam,"Mohandessin, Giza, Egypt ",Work From Home,Experienced,3+ Yrs of Exp,"Writing/Editorial,Writing,Translation,Editing,Localization,language,english language,English"
Senior MEP Estimation Engineer,Confidential,"Katameya, Cairo, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Engineering - Mechanical/Electrical,Electrical Engineering,Computer Science,Engineering,Mechanical Engineering,MEP,MySQL,Project,Science"
Data Modeler,Confidential,"Cairo, Egypt ",Full Time,Experienced,1 - 5 Yrs of Exp,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,SAS,Modeler,Data Modeling,Database,Database SQL Server,Data Science,Modeling"
HR Senior Generalist,Confidential,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"males_preferred,Administration,Human Resources,Administration,HR,HRIS,Human Resources,Human Resources (HR),Personnel,Recruitment,Training"
Planning & Analytics Assistant Manager,Network International -Egypt,"New Cairo, Cairo, Egypt ",Full Time,Experienced,6 - 10 Yrs of Exp,"IT/Software Development,Data Analytics,Planning,MIS"
Automation Senior Sales Engineer,Confidential,"Mohandessin, Giza, Egypt ",Full Time,Experienced,7 - 12 Yrs of Exp,"Operations/Management,Sales/Retail,Engineering - Mechanical/Electrical,Sales,Automation Engineering,Automatic Control,Valves,PLC Scada,Planning,Business Development"
Senior Java Developer,Fawry for Banking Technology and Electronic Payments S.A.E,"Smart Village, Giza, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,Computer Science,Java,Information Technology (IT),Engineering,Development,Design,Software Development,SQL"
ERP Consultant (Microsoft Dynamics),Confidential,"Cairo, Egypt ",Full Time,Experienced,5 - 8 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,ERP,Information Technology (IT),SQL Server,Computer Science,Dynamics,Dynamics AX,ERP Implementation,Implementation"
Dental Representative -Outdoor (Giza),Confidential,"Giza, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"Administration,Sales/Retail,Sales,Sales Skills,Medical,Sales Target,Customer Service,Admin,Administration,Medical Sales"
Dental Representative -Outdoor(Alex-Behira),Confidential,"Alexandria, Egypt ",Full Time,Experienced,1 - 5 Yrs of Exp,"Administration,Sales/Retail,Sales,Sales Skills,Medical,Sales Target,Customer Service,Admin,Administration,Medical Sales"
Marketing Executive,Talaat Moustafa Group,"Dokki, Giza, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"Marketing/PR/Advertising,Media/Journalism/Publishing,E-marketing,Marketing,Market Research,Real Estate,Online Marketing,Business Administration,SEO,TMG"
IT Supervisor,Confidential,"Nasr City, Cairo, Egypt ",Full Time,Manager,3 - 5 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,Engineering,Computer Engineering,CCNP,Computer Science,ERP,Information Technology (IT),Network Administration,CCNA"
Realestate Sales Agent,Confidential,"Sheikh Zayed, Giza, Egypt ",Full Time,Entry Level,0 - 10 Yrs of Exp,"Sales/Retail,Communication,sales"
Technical Office - Site MEP,Confidential,"Mohandessin, Giza, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Electrical Engineering,Engineering,Mechanical,networks,Revit,AutoCAD,Technical Office"
Logistic Specialist,Premier Services and Recruitment,"Downtown, Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,"Logistics/Supply Chain,Purchasing/Procurement,Logistics,Supply Chain"
HR Manager,Premier Services and Recruitment,"Alexandria, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"Human Resources,Hr manager,manufacturing,HR strategies"
Quality Control Engineer (Civil),AlGammal Contracting,"Abu Qir, Alexandria, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"males_only,Engineering - Construction/Civil/Architecture,Quality,Quality Control,Civil Engineering,Project,Civil,quality,Control"
UI UX Designer,Premier Services and Recruitment,"Cairo, Egypt ",Full Time,Experienced,5+ Yrs of Exp,"Creative/Design/Art,IT/Software Development,UI,UX/UI,UX,Design,Web,Information Technology (IT),Computer Science"
Accountant,Confidential,"Cairo, Egypt ",Full Time,Entry Level,2 - 3 Yrs of Exp,"Accounting/Finance,Administration,Accounting,English,excel,MS Office,MS,office"
Supply Chain Team Leader,AlGammal Contracting,"Abu Qir, Alexandria, Egypt ",Full Time,Experienced,10 - 12 Yrs of Exp,"males_only,Logistics/Supply Chain,Engineering - Mechanical/Electrical,Supply Chain,Procurement,Logistics,Warehouse,Management,Communication"
Recruitment Specialist,Confidential,"Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"Human Resources,Recruitment,Mass Hiring,Mass Recruitment,HR Specialist,Hiring,Human Resources,HR,Blue Collar,White Collar"
Senior Quality Control Engineer (Mechanical),AlGammal Contracting,"Abu Qir, Alexandria, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"males_only,Quality,Engineering - Mechanical/Electrical,Engineering,Project,Quality Control,Mechanical Engineering"
Head of brand & B2B marketing,Fawry for Banking Technology and Electronic Payments S.A.E,"Smart Village, Giza, Egypt ",Full Time,Senior Management,7 - 10 Yrs of Exp,"Banking,Marketing/PR/Advertising,B2B,B2B Marketing,Analytics,Management,Marketing,Project Management,e-payemnt"
HSE Engineer (Contracting experience),AlGammal Contracting,"Abu Qir, Alexandria, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"males_only,R&D/Science,Engineering - Mechanical/Electrical,Engineering - Other,HSE,engineer,Engineering,OSHA,NEBOSH,EHS Management"
Business Development Team Leader,Solera,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,6 - 10 Yrs of Exp,"Business Development,Engineering - Mechanical/Electrical,Sales Engineering,Business Development,Construction Engineering,Contracting,Negotiation,Presentations,Technical Sales"
Senior Civil Engineer,Confidential,"Giza, Giza, Egypt ",Full Time,Experienced,4 - 8 Yrs of Exp,"Engineering - Construction/Civil/Architecture,AutoCAD,Civil,Civil Engineering,Engineering,Revit,Management,Design"
Marketing specialist,Confidential,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Marketing/PR/Advertising,Sales/Retail,Media/Journalism/Publishing,Communication,E-Marketing,Marketing,marketing specialist,Social Media,media,Creative"
Senior Tender Engineer - Construction,Confidential,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,6 - 9 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Project/Program Management,Engineering - Other,Civil,Tendering,Cost Estimating,Procurement,Microsoft Office,attention to details,Engineering"
Software Tester,Confidential,"Dokki, Giza, Egypt ",Full Time,Entry Level,1 - 10 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,Test,tester,software tester,Software Testing,Testing,Information Technology (IT),Computer Science,Agile"
Java Team Lead,Ejada,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,8 - 10 Yrs of Exp,"IT/Software Development,Computer Science,Information Technology (IT)"
Senior Voice Engineer,Confidential,"Maadi, Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,CCNA,CCNP,UCCE,Cisco UCCE,Cisco Voice,Voip Systems,CCNA Voice,CCNP voice"
Network Security Engineer,Confidential,"Maadi, Cairo, Egypt ",Full Time,Experienced,1 - 1 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,Engineering - Other,CCNA,Cisco,CCNP,Engineering,Information Technology (IT),Network,IT"
Purchasing Specialist,Confidential,"Alsadat City, Monufya, Egypt ",Full Time,Experienced,1 - 4 Yrs of Exp,"males_only,Purchasing/Procurement,business,Management,Purchasing,Supply Chain,supply chain management"
Issuing Fraud Monitoring Analyst,Network International -Egypt,"New Cairo, Cairo, Egypt ",Full Time,Entry Level,0 - 2 Yrs of Exp,"Banking,Fraud detection,Card Fraud,Fraud Monitoring,Inbound Calls,Call center"
Issuing Fraud Monitoring Senior Analyst,Network International -Egypt,"New Cairo, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Banking,banking operations.,Fraud,Accident Investigation,Banking,Fraud Monitoring,Card Fraud"
Export and Subsidy Officer.,Kandil Industries,"10th of Ramadan City, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,Logistics/Supply Chain,Logistics,Communication skills,Accounting,Export,Supply Chain"
Sales Account Executive,Confidential,"Faisal, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Accounting/Finance,Accounting,Branch,Finance,Financial Management,Business Administration,Commerce"
