Job title,Company name,Location,Job type,Experience Level,Experience years,Skills
Product Manager,Confidential,"Cairo, Egypt ",Full Time,Experienced,5+ Yrs of Exp,"Business Development,Operations/Management,Project/Program Management,business,Development,Growth,Marketing,Product,Product Development,Product Management"
Senior Oracle Techno Functional Consultant ( Finance ),Confidential,"Cairo, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"Accounting/Finance,IT/Software Development,Engineering - Telecom/Technology,AP,AR,Banking,Computer Science,ERP,Finance,Functional"
Senior Interior Designer,Confidential,"Nasr City, Cairo, Egypt ",Full Time,Experienced,3 - 10 Yrs of Exp,"Creative/Design/Art,Engineering - Other,Furniture,Applied Arts,AutoCAD,Design,Creative,Fine Arts,Interior Design,Adobe Photoshop"
Human Capital Specialist,Venus International Free Zone,"Dkhaila, Alexandria, Egypt ",Full Time,Entry Level,0 - 3 Yrs of Exp,"Administration,Customer Service/Support,Human Resources,excel,HR,hr management,Human Resources (HR),Microsoft Office,Personnel,Recruitment"
Pricing Specialist,Confidential,"Maadi, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"Medical/Healthcare,Market Research,Pricing,Medical Insurance"
Senior Media Buyer (Real Estate),Confidential,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Marketing/PR/Advertising,Media/Journalism/Publishing,SEO,Digital Marketing,Social Media,Campaign,PPC,Content,Email Marketing,Ads"
Purchasing Sector Manager,Confidential,"Abu Rawash, Giza, Egypt ",Full Time,Manager,7 - 12 Yrs of Exp,"Operations/Management,Purchasing/Procurement,MS Office,negotiation skills,Procurement,Purchasing,Hotels,Skills,Water Treatment"
Buisness Support Coordinator,Confidential,"Abu Rawash, Giza, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Administration,Hospitality/Hotels/Food Services,Engineering - Other,Admin,Administration,Microsoft Office,Office Management,Customer Service,Admin Coordination,Customer Care"
Supply Chain Manager,Confidential,"Katameya, Cairo, Egypt ",Full Time,Manager,7 - 10 Yrs of Exp,"Logistics/Supply Chain,Operations/Management,Purchasing/Procurement,Procurement,Communication skills,Contracting,Purchasing,Logistics,Supply Chain"
Business Developer Sales in marketing agency,Confidential,"Nasr City, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"Business Development,Marketing/PR/Advertising,Sales/Retail,Business Development,sales skills,analytical,Experience,Marketing,Sales"
Marketing Director for a new app startup,Confidential,"Cairo, Egypt ",Full Time,Manager,7+ Yrs of Exp,"Business Development,Marketing/PR/Advertising,Business Development,Marketing,Sales,Trading,Commodities Trading"
Senior HVAC Design Engineer,Confidential,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,9 - 14 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Creative/Design/Art,Engineering - Mechanical/Electrical,AutoCAD,Design,HVAC,Engineering,English,Mechanical Engineering,Shop Drawings"
Quality Control Manager,Egast,"Bab Sharq, Alexandria, Egypt ",Full Time,Manager,3 - 10 Yrs of Exp,"Quality,Agricultural Engineering,Agriculture Engineering,quality"
Marketing Supervisor ( Food & Beverage ),Confidential,"Obour City, Cairo, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,"Marketing/PR/Advertising,Marketing,FMCG,Social Media,Market Research,Sales"
electrical technical office engineer,Confidential,"Nasr City, Cairo, Egypt ",Full Time,Entry Level,0 - 2 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Manufacturing/Production,Engineering - Mechanical/Electrical,AutoCAD,Communication,Electrical,Electrical Engineering,Engineering,Manufacturing,Microsoft Office"
Senior technical office engineer - earthing and lightning scope,Confidential,"Cairo, Egypt ",Full Time,Experienced,3 - 9 Yrs of Exp,"Engineering - Mechanical/Electrical,Engineering - Other,AutoCAD,2D,CAD,Microsoft Office,Technical Office,Drawing,Engineering,English"
Purchasing Manager,GPS,"10th of Ramadan City, Cairo, Egypt ",Full Time,Manager,10+ Yrs of Exp,"Logistics/Supply Chain,Operations/Management,Purchasing/Procurement,Purchasing,Procurement,Foreign,Supply Chain,Logistics,Purchasing Management"
Senior Site MEP,Confidential,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced,4 - 7 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Business Development,Engineering - Mechanical/Electrical,Construction,Engineering,Mechanical Engineering,MEP,Site"
Business Solutions Senior Specialist,Kandil Industries,"10th of Ramadan City, Cairo, Egypt ",Full Time,Experienced,4 - 8 Yrs of Exp,"IT/Software Development,Analyst/Research,business,ERP,ERP Solutions,ERP System"
Poultry Slaughterhouse and Further Processing QC Manager,Confidential,"Alsadat City, Monufya, Egypt ",Full Time,Manager,15 - 20 Yrs of Exp,"Quality,QC,Quality Control,Slaughterhouse,Further Processing,Poultry,Food industry,FMCG,Veterinary Medicine"
Quality Assurance Team Lead,Nahdet Misr Publishing Group,"Mohandessin, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Customer Service/Support,Quality,quality,Quality Assurance,Customer Support"
Site Electrical Engineer (Females only),COLAS RAIL Egypt,"Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Engineering - Mechanical/Electrical,Electrical Engineering,Electrical,Industrial,Mechatronics,Microsoft Office,Projects,English"
Head of HSE Department (Steel Manufacturing /Fabrication),Confidential,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,5 - 9 Yrs of Exp,"Operations/Management,Manufacturing/Production,Engineering - Mechanical/Electrical,Manufacturing,NEBOSH,OSHA,HSE,Engineering,Safety,Health"
Senior Quality Control Engineer (Civil),AlGammal Contracting,"Abu Qir, Alexandria, Egypt ",Full Time,Experienced,5 - 7 Yrs of Exp,"males_only,Engineering - Construction/Civil/Architecture,Quality,Quality Control,Civil Engineering,Project,Civil,quality,Control"
Planning and Contracts Team Leader,Solera,"Cairo, Egypt ",Full Time,Experienced,7 - 15 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Project/Program Management,Engineering - Mechanical/Electrical,Planning,Time Scheduling,Contracts Management,Engineering,MEP Engineering,Strategic Planning"
Hydraulic Design Engineer ( Water & Wastewater ),Confidential,"Giza, Egypt ",Full Time,Experienced,5 - 8 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Creative/Design/Art,Civil Engineering,Design,Engineering,Water Treatment,Civil,Networks,wastewater,English"
SAP Basis Admin,Confidential,"Cairo, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"IT/Software Development,Computer Science,Computer Engineering,SAP Basis,SAP,Oracle,Administration,Information Technology (IT),Configuration"
Technical Office Manager,Thaka International,"Cairo, Egypt ",Full Time,Manager,8+ Yrs of Exp,"Administration,Engineering - Construction/Civil/Architecture,Administration,excel,Management,Microsoft Office,technical,Technical Office,Communication,Office management"
Sales Manager - Religious Tourism,Confidential,"Nasr City, Cairo, Egypt ",Full Time,Manager,5 - 7 Yrs of Exp,"males_only,Sales/Retail,Tourism/Travel,Manager,hotel,Sales Manager,Sales"
Purchasing Supervisor,Confidential,"Maadi, Cairo, Egypt ",Full Time,Experienced,5+ Yrs of Exp,"Purchasing/Procurement,Purchasing,FMCG,Vendors,Suppliers,Procurement"
Junior Mechanical Maintenance Engineer (Alexandria Residents),Confidential,"Alexandria, Egypt ",Full Time,Entry Level,0 - 1 Yrs of Exp,"Installation/Maintenance/Repair,Engineering - Mechanical/Electrical,Mechanical Engineering,Maintenance,Mechanical Power Engineering,Mechanical Power,Engineering,Management,Mechanical,Power"
Chief Operating Officer,Venus International Free Zone,"Dkhaila, Alexandria, Egypt ",Full Time,Senior Management,7 - 15 Yrs of Exp,"Logistics/Supply Chain,Operations/Management,Communication skills,Management,Operations Management,business"
Treasury Section Head,Ibn Sina Pharma,"New Cairo, Cairo, Egypt ",Full Time,Experienced,6 - 9 Yrs of Exp,"Accounting/Finance,Banking,Accounting,English,Banking,Finance,Treasury,Management,Microsoft Office"
Quality Control Civil Engineer (Toshka),AlGammal Contracting,"Aswan, Aswan, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"males_only,Engineering - Construction/Civil/Architecture,Quality,Quality Control,Civil Engineering,Project,Civil,quality,Control"
Virtual Assistant,Confidential,"Cairo, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,"Administration,Business Development,Customer Service/Support,Startup,Entrepreneurship,Executive Management,Business English,Microsoft Office,English"
Treasury Manager,Confidential,"New Cairo, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"Accounting/Finance,Banking,Operations/Management,Treasury,CTP,Finance"
Senior Business Analyst,Confidential,"Sheraton, Cairo, Egypt ",Full Time,Experienced,3 - 4 Yrs of Exp,"IT/Software Development,Analyst/Research,business analyst,Information Technology (IT),Business Development,Computer Science,Software,Software Development"
Quality Control Team leader Engineer (Mechanical),AlGammal Contracting,"Abu Qir, Alexandria, Egypt ",Full Time,Experienced,7 - 10 Yrs of Exp,"males_only,Quality,Engineering - Mechanical/Electrical,Engineering,Project,Quality Control,Mechanical Engineering,quality,Control,Mechanical"
Commercial Engineer,Confidential,"Zamalek, Cairo, Egypt ",Full Time,Experienced,7 - 15 Yrs of Exp,"Manufacturing/Production,Commercial,Engineering Field"
Business Developer Sales in marketing agency,Confidential,"Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"Business Development,Marketing/PR/Advertising,Sales/Retail,Business Development,Marketing,sales skills,Sales"
IT & Mobile Category Buyer,B.TECH,"Nasr City, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Logistics/Supply Chain,Sales/Retail,Purchasing/Procurement,Buyer,purchasing,E-Commerce,mobiles,electronics"
SDA Category Buyer,B.TECH,"Nasr City, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Logistics/Supply Chain,Sales/Retail,Purchasing/Procurement,Small Home Appliances,Buyer,purchasing,E-Commerce"
Demand Forecasting Supervisor,Ibn Sina Pharma,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,"Logistics/Supply Chain,Pharmaceutical,Communication skills,Logistics,Forecasting,Supply Chain,Planning,Pharmacy,Pharmaceutical Industry,Sales"
Sales Automation (Sales Buzz) Section Head,Confidential,"Sheikh Zayed, Giza, Egypt ",Full Time,Manager,4 - 7 Yrs of Exp,"IT/Software Development,Sales Buzz,Sales Automation,SQL,Microsoft SQL Server,Database SQL Server,MS Visual Studio,Microsoft Excel,SAP"
"Export Team Leader (in Sugar, Chocolate and Sugar Confectionery ) International Project",Pillars,"Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Logistics/Supply Chain,Project/Program Management,Purchasing/Procurement,Procurement,Export Sales,Development,sugar confectionary,sales skills,team leader,English"
Senior Contracts & Claims Engineer,Confidential,"Downtown, Cairo, Egypt ",Full Time,Experienced,7 - 10 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Contracts,engineer,Engineering,Civil Engineering,Architecture,FIDIC,contract manahment"
Sales Engineer (Oil & Gas) - Giza,Pillars,"Cairo, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,"Sales/Retail,Engineering - Mechanical/Electrical,Engineering - Oil & Gas/Energy,Sales Engineering,Engineering,Industrial,Management,Sales Target,Skills,sales skills"
Network & Security Supervisor,Confidential,"Cairo, Egypt ",Full Time,Experienced,5+ Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,CEH,CCNP,Computer Engineering,PCNSE,NSE4,Information Technology (IT),Computer Science,Networking"
